bank_reference,settlement_id,credit_date,credited_amount_paise,currency,bank_status
UTR338750390828,setl_89E3995AB35331,2026-08-03,1364713,INR,credited
UTR106691352630,setl_AD689CF88759F1,2026-08-03,2717907,INR,credited
UTR828010681007,setl_F3D2273A374032,2026-07-13,798793,INR,credited
UTR967153768835,setl_9E0D54254F4F81,2026-07-24,107698,INR,credited
UTR255128698726,setl_DD2A7AFEBD11E1,2026-07-13,135230,INR,credited
UTR739998009523,setl_1E01B04F41F1FC,2026-07-14,2716735,INR,credited
UTR351014956060,setl_2E64CA6E17B8D9,2026-07-27,348281,INR,credited
UTR964665374727,setl_F5870B9FC062B6,2026-07-28,3381274,INR,credited
UTR478806052288,setl_ADA85C5AADA14B,2026-08-13,1852523,INR,credited
UTR321327174244,setl_DC4A15046882CC,2026-08-13,191081,INR,credited
UTR985214885295,setl_9EAB75CDA04002,2026-08-10,257769,INR,credited
UTR462756469559,setl_31AA3D014B906D,2026-07-27,1464993,INR,credited
UTR628272984389,setl_D8270E93929A15,2026-07-29,780240,INR,credited
UTR450396077890,setl_BBD5928AA7BA08,2026-08-17,859526,INR,credited
UTR286765199326,setl_70679DE5D67C47,2026-07-28,983236,INR,credited
UTR665901384645,setl_AD8929E1BE5109,2026-07-10,4014372,INR,credited
UTR646090341673,setl_CF36AE3E57A7AA,2026-07-15,57412,INR,credited
UTR588655802804,setl_CAFDD23ABBA61B,2026-07-14,71569,INR,credited
UTR143260202248,setl_CF4763F5491FFA,2026-07-21,3726528,INR,credited
UTR912989095206,setl_8C482DF23A04C2,2026-08-17,2596052,INR,credited
UTR792261744681,setl_180D888B9132CC,2026-08-07,1492134,INR,credited
UTR773953072606,setl_12F31FE2723D21,2026-07-16,1272443,INR,credited
UTR855230919735,setl_CCF71D1AE7FE9B,2026-08-03,201334,INR,credited
UTR790602659924,setl_3DDAEE01128E33,2026-08-07,2640967,INR,credited
UTR478641291150,setl_02984C86414232,2026-07-20,64932,INR,credited
UTR689462602885,setl_D5B6FC2A140CC5,2026-07-06,601852,INR,credited
UTR506849178585,setl_6F1E42C70030AD,2026-07-31,701838,INR,credited
UTR785568469121,setl_383EA9C40881CC,2026-08-12,1506976,INR,credited
UTR659723999050,setl_C3BAAC9D7E82F5,2026-08-03,249959,INR,credited
UTR244457968974,setl_FF0197D356A742,2026-08-17,566704,INR,credited
UTR416499223451,setl_FF4EA7C403419F,2026-07-15,1507172,INR,credited
UTR375177861277,setl_4DCBAB0D86C149,2026-07-20,643351,INR,credited
UTR239631079025,setl_40C1F16D8006DA,2026-07-31,1397911,INR,credited
UTR564236242440,setl_B9943C21567768,2026-08-10,1803019,INR,credited
UTR222906579197,setl_B544554D420027,2026-08-06,487615,INR,credited
UTR989954586724,setl_37DDB2ED597520,2026-07-06,810020,INR,credited
UTR238095306330,setl_CC7E03BBD84E66,2026-07-06,2209493,INR,credited
UTR565330342901,setl_C5E98B8BF48B4C,2026-08-07,292919,INR,credited
UTR489889899349,setl_A43B47B9979501,2026-07-20,586525,INR,credited
UTR245347460785,setl_FE74FDFE4A1021,2026-07-28,128789,INR,credited
UTR171516487211,setl_17AC1E53624712,2026-07-03,839410,INR,credited
UTR895497110863,setl_A499CD4BF712F9,2026-08-05,1111241,INR,credited
UTR415498168387,setl_A3EBE0A9FC3B41,2026-07-13,22847,INR,credited
UTR856556904270,setl_7F8E0060C27D64,2026-07-21,2143102,INR,credited
UTR291369875949,setl_639FEB0014518E,2026-07-20,190300,INR,credited
UTR509160657293,setl_4CBC922B38EE63,2026-07-27,292432,INR,credited
UTR747114576022,setl_9119258B53E682,2026-08-10,726050,INR,credited
UTR273459500424,setl_372D4BD7FA356A,2026-07-09,716288,INR,credited
UTR712687437771,setl_F9D602D6BAA544,2026-07-27,648623,INR,credited
UTR634803670335,setl_D79EB863B0EC01,2026-07-31,71961,INR,credited
UTR167982258253,setl_586F21A51F0DD3,2026-07-29,582129,INR,credited
UTR942000182473,setl_30558828BEA6C6,2026-07-20,39056,INR,credited
UTR280838226911,setl_58C5EC4F5DE349,2026-07-20,109357,INR,credited
UTR379296061175,setl_4D35A42DA767C8,2026-08-03,163352,INR,credited
UTR452013585261,setl_2CC7280900E787,2026-07-27,242247,INR,credited
UTR156889403052,setl_C9FC6E1D1272A1,2026-07-14,46867,INR,credited
UTR838200365996,setl_BC34561D7F64AC,2026-07-13,624602,INR,credited
UTR192763796820,setl_3F4B8EEA4245D5,2026-07-06,73524,INR,credited
UTR590470617431,setl_3B91261CC6D20C,2026-08-04,1986389,INR,credited
UTR580385222428,setl_B4160AFC8DBFA0,2026-07-13,680258,INR,credited
UTR568352898977,setl_CC14A76F44E712,2026-07-27,77039,INR,credited
UTR921696768496,setl_0AEF08289948A9,2026-08-14,453438,INR,credited
UTR185225774848,setl_1E82C88FCDA79D,2026-07-15,52727,INR,credited
UTR948512144623,setl_742967BF9BB72E,2026-08-10,521105,INR,credited
UTR239707263196,setl_E719151DDE4B15,2026-07-14,70690,INR,credited
UTR484323716480,setl_C0E9EA3232A204,2026-07-27,768330,INR,credited
UTR381956122378,setl_BB49117D1A03C4,2026-08-17,838435,INR,credited
UTR525798905972,setl_60FE9814EFC833,2026-08-11,700078,INR,credited
UTR952116987631,setl_9B25B9D61AC8E6,2026-07-24,1846567,INR,credited
