payment_id,order_id,settlement_id,transaction_type,payment_date,gross_amount_paise,fee_paise,tax_paise,net_amount_paise,payment_status
pay_6210B784BAA1C6,order_C28753F8221C4E,setl_89E3995AB35331,payment,2026-08-01,1397700,27955,5032,1364713,captured
pay_153D3A3F56BC09,order_2DD301C8A91AFA,setl_AD689CF88759F1,payment,2026-07-31,2783600,55672,10021,2717907,captured
pay_0D2329D9FA09CA,order_32B55D35E67646,setl_F3D2273A374032,payment,2026-07-11,818100,16363,2944,798793,captured
pay_A1CBB7236CE857,order_6B451936D1D5C4,setl_9E0D54254F4F81,payment,2026-07-22,110300,2205,397,107698,captured
pay_EC15426979E488,order_5A9331F6205888,setl_DD2A7AFEBD11E1,payment,2026-07-10,138500,2770,500,135230,captured
pay_CC4779447FC737,order_8F9B7341E163E7,setl_1E01B04F41F1FC,payment,2026-07-12,2782400,55648,10017,2716735,captured
pay_D04DE5AA6A002D,order_CFF79C40D286A6,setl_2E64CA6E17B8D9,payment,2026-07-24,356700,7134,1285,348281,captured
pay_6230A1F33FEDB0,order_B627E356CF2C92,setl_F5870B9FC062B6,payment,2026-07-27,3463000,69259,12467,3381274,captured
pay_28CFBCC79C6ABC,order_F7D6534C68CA03,setl_ADA85C5AADA14B,payment,2026-08-12,1897300,37946,6831,1852523,captured
pay_DDC4418EC0ADB9,order_A83C11D242CFCA,setl_DC4A15046882CC,payment,2026-08-12,195700,3914,705,191081,captured
pay_77D073CD6AB5D7,order_BFA2BCD3438F60,setl_9EAB75CDA04002,payment,2026-08-08,264000,5280,951,257769,captured
pay_B5FE9583F2C4A1,order_F8870B785E85A0,setl_31AA3D014B906D,payment,2026-07-26,1500400,30007,5400,1464993,captured
pay_35260731400AFD,order_B70D1BB7F44F11,setl_D8270E93929A15,payment,2026-07-25,799100,15982,2878,780240,captured
pay_7E7EE6C4CBD7FB,order_03F21AE385EECA,setl_BBD5928AA7BA08,payment,2026-08-13,880300,17605,3169,859526,captured
pay_C169B0E48E25E5,order_57A6DA9E0C39C2,setl_70679DE5D67C47,payment,2026-07-27,1007000,20140,3624,983236,captured
pay_D0B11B86F5BFED,order_B3AA70992C73AC,setl_AD8929E1BE5109,payment,2026-07-09,4111400,82227,14801,4014372,captured
pay_C5EEC892571043,order_F7F7FCEEC2B3A9,setl_CF36AE3E57A7AA,payment,2026-07-13,58800,1176,212,57412,captured
pay_3C402A90FD68CC,order_18D2C954CB1471,setl_CAFDD23ABBA61B,payment,2026-07-11,73300,1466,265,71569,captured
pay_F1929EFF21FBA8,order_4CF696B50537A3,setl_CF4763F5491FFA,payment,2026-07-19,3816600,76333,13739,3726528,captured
pay_D05B0AC1606C7F,order_D43C62B3CE347F,setl_8C482DF23A04C2,payment,2026-08-13,2658800,53176,9572,2596052,captured
pay_4282B268A5D69D,order_0DF8776CFDDC2C,setl_180D888B9132CC,payment,2026-08-06,1528200,30564,5502,1492134,captured
pay_EFDB92466554D1,order_A4C114BAEEC351,setl_12F31FE2723D21,payment,2026-07-15,1303200,26064,4693,1272443,captured
pay_6FB3C23F19B78B,order_35599BDC7C115F,setl_CCF71D1AE7FE9B,payment,2026-07-31,206200,4124,742,201334,captured
pay_653AEA526BC679,order_3A0DEED98644FD,setl_3DDAEE01128E33,payment,2026-08-06,2704800,54097,9736,2640967,captured
pay_E67552E944AA7E,order_A9BD0B0B0CCAFF,setl_02984C86414232,payment,2026-07-19,66500,1329,239,64932,captured
pay_3B4A20535ADDF5,order_F18C69E30E45F7,setl_D5B6FC2A140CC5,payment,2026-07-02,616400,12329,2219,601852,captured
pay_F1007452C2B2A8,order_57F3923438DCCD,setl_6F1E42C70030AD,payment,2026-07-28,718800,14375,2587,701838,captured
pay_3E545FFB87FAAE,order_CEF3461658498D,setl_383EA9C40881CC,payment,2026-08-09,1543400,30868,5556,1506976,captured
pay_BCDA66721F381A,order_13DFFAFC430D70,setl_C3BAAC9D7E82F5,payment,2026-07-29,256000,5120,921,249959,captured
