refund_id,payment_id,refund_date,refund_amount_paise,refund_status
rfnd_1B779FC94BFFEA,pay_D9DB7589F2B402,2026-08-14,316300,processed
rfnd_A6D6A1C7F017F2,pay_90BA0587F0A08B,2026-08-07,57000,processed
rfnd_32C9CBA050853C,pay_2FDB38908532E8,2026-07-27,7100,processed
rfnd_86D1B68F437764,pay_2E969F038E5BE4,2026-07-09,283100,processed
rfnd_3BAA839D4AF0BD,pay_7611C958255F3E,2026-07-13,15600,processed
rfnd_EA8D660F422559,pay_A0B86AF1E976E1,2026-07-08,840900,processed
rfnd_E31CA4C1A7032C,pay_F230128243ABAC,2026-07-23,110400,processed
rfnd_C3234D3432ABD1,pay_88EE8693A17447,2026-07-17,98600,processed
rfnd_E316BE9645E45B,pay_9BAEB189DEAE08,2026-07-09,50700,processed
rfnd_22693D4799BC85,pay_0F8196970A4A2A,2026-08-15,120400,processed
rfnd_9B7FDDF0CDECFC,pay_906040F1184A41,2026-07-28,5200,processed
rfnd_69056909052BFD,pay_AAE219D27350CB,2026-07-21,222700,processed
