record_id,injected_scenario,expected_match_status,expected_exception_type
ORD-2026070001,exact_match,EXACT_MATCH,
ORD-2026070002,exact_match,EXACT_MATCH,
ORD-2026070003,exact_match,EXACT_MATCH,
ORD-2026070004,exact_match,EXACT_MATCH,
ORD-2026070005,exact_match,EXACT_MATCH,
ORD-2026070006,exact_match,EXACT_MATCH,
ORD-2026070007,exact_match,EXACT_MATCH,
ORD-2026070008,exact_match,EXACT_MATCH,
ORD-2026070009,exact_match,EXACT_MATCH,
ORD-2026070010,exact_match,EXACT_MATCH,
ORD-2026070011,exact_match,EXACT_MATCH,
ORD-2026070012,exact_match,EXACT_MATCH,
ORD-2026070013,exact_match,EXACT_MATCH,
ORD-2026070014,exact_match,EXACT_MATCH,
ORD-2026070015,exact_match,EXACT_MATCH,
ORD-2026070016,exact_match,EXACT_MATCH,
ORD-2026070017,exact_match,EXACT_MATCH,
ORD-2026070018,exact_match,EXACT_MATCH,
ORD-2026070019,exact_match,EXACT_MATCH,
ORD-2026070020,exact_match,EXACT_MATCH,
ORD-2026070021,exact_match,EXACT_MATCH,
ORD-2026070022,exact_match,EXACT_MATCH,
ORD-2026070023,exact_match,EXACT_MATCH,
ORD-2026070024,exact_match,EXACT_MATCH,
ORD-2026070025,exact_match,EXACT_MATCH,
ORD-2026070026,exact_match,EXACT_MATCH,
ORD-2026070027,exact_match,EXACT_MATCH,
ORD-2026070028,exact_match,EXACT_MATCH,
ORD-2026070029,exact_match,EXACT_MATCH,
ORD-2026070030,exact_match,EXACT_MATCH,
ORD-2026070031,exact_match,EXACT_MATCH,
ORD-2026070032,exact_match,EXACT_MATCH,
ORD-2026070033,exact_match,EXACT_MATCH,
ORD-2026070034,exact_match,EXACT_MATCH,
ORD-2026070035,exact_match,EXACT_MATCH,
ORD-2026070036,exact_match,EXACT_MATCH,
ORD-2026070037,exact_match,EXACT_MATCH,
ORD-2026070038,exact_match,EXACT_MATCH,
ORD-2026070039,exact_match,EXACT_MATCH,
ORD-2026070040,exact_match,EXACT_MATCH,
ORD-2026070041,exact_match,EXACT_MATCH,
ORD-2026070042,exact_match,EXACT_MATCH,
ORD-2026070043,exact_match,EXACT_MATCH,
ORD-2026070044,exact_match,EXACT_MATCH,
ORD-2026070045,exact_match,EXACT_MATCH,
ORD-2026070046,exact_match,EXACT_MATCH,
ORD-2026070047,exact_match,EXACT_MATCH,
ORD-2026070048,exact_match,EXACT_MATCH,
ORD-2026070049,exact_match,EXACT_MATCH,
ORD-2026070050,exact_match,EXACT_MATCH,
ORD-2026070051,exact_match,EXACT_MATCH,
ORD-2026070052,exact_match,EXACT_MATCH,
ORD-2026070053,exact_match,EXACT_MATCH,
ORD-2026070054,exact_match,EXACT_MATCH,
ORD-2026070055,exact_match,EXACT_MATCH,
ORD-2026070056,exact_match,EXACT_MATCH,
ORD-2026070057,exact_match,EXACT_MATCH,
ORD-2026070058,exact_match,EXACT_MATCH,
ORD-2026070059,exact_match,EXACT_MATCH,
ORD-2026070060,exact_match,EXACT_MATCH,
ORD-2026070061,exact_match,EXACT_MATCH,
ORD-2026070062,exact_match,EXACT_MATCH,
ORD-2026070063,exact_match,EXACT_MATCH,
ORD-2026070064,exact_match,EXACT_MATCH,
ORD-2026070065,exact_match,EXACT_MATCH,
ORD-2026070066,exact_match,EXACT_MATCH,
ORD-2026070067,exact_match,EXACT_MATCH,
ORD-2026070068,exact_match,EXACT_MATCH,
ORD-2026070069,exact_match,EXACT_MATCH,
ORD-2026070070,exact_match,EXACT_MATCH,
ORD-2026070071,exact_match,EXACT_MATCH,
ORD-2026070072,exact_match,EXACT_MATCH,
ORD-2026070073,exact_match,EXACT_MATCH,
ORD-2026070074,exact_match,EXACT_MATCH,
ORD-2026070075,exact_match,EXACT_MATCH,
ORD-2026070076,exact_match,EXACT_MATCH,
ORD-2026070077,exact_match,EXACT_MATCH,
ORD-2026070078,exact_match,EXACT_MATCH,
ORD-2026070079,exact_match,EXACT_MATCH,
ORD-2026070080,exact_match,EXACT_MATCH,
ORD-2026070081,exact_match,EXACT_MATCH,
ORD-2026070082,exact_match,EXACT_MATCH,
ORD-2026070083,exact_match,EXACT_MATCH,
ORD-2026070084,exact_match,EXACT_MATCH,
ORD-2026070085,exact_match,EXACT_MATCH,
ORD-2026070086,exact_match,EXACT_MATCH,
ORD-2026070087,exact_match,EXACT_MATCH,
ORD-2026070088,exact_match,EXACT_MATCH,
ORD-2026070089,exact_match,EXACT_MATCH,
ORD-2026070090,exact_match,EXACT_MATCH,
ORD-2026070091,exact_match,EXACT_MATCH,
ORD-2026070092,exact_match,EXACT_MATCH,
ORD-2026070093,exact_match,EXACT_MATCH,
ORD-2026070094,exact_match,EXACT_MATCH,
ORD-2026070095,exact_match,EXACT_MATCH,
ORD-2026070096,exact_match,EXACT_MATCH,
ORD-2026070097,exact_match,EXACT_MATCH,
ORD-2026070098,exact_match,EXACT_MATCH,
ORD-2026070099,exact_match,EXACT_MATCH,
ORD-2026070100,exact_match,EXACT_MATCH,
ORD-2026070101,exact_match,EXACT_MATCH,
ORD-2026070102,exact_match,EXACT_MATCH,
ORD-2026070103,exact_match,EXACT_MATCH,
ORD-2026070104,exact_match,EXACT_MATCH,
ORD-2026070105,exact_match,EXACT_MATCH,
ORD-2026070106,exact_match,EXACT_MATCH,
ORD-2026070107,exact_match,EXACT_MATCH,
ORD-2026070108,exact_match,EXACT_MATCH,
ORD-2026070109,exact_match,EXACT_MATCH,
ORD-2026070110,exact_match,EXACT_MATCH,
ORD-2026070111,exact_match,EXACT_MATCH,
ORD-2026070112,exact_match,EXACT_MATCH,
ORD-2026070113,exact_match,EXACT_MATCH,
ORD-2026070114,exact_match,EXACT_MATCH,
ORD-2026070115,exact_match,EXACT_MATCH,
ORD-2026070116,exact_match,EXACT_MATCH,
ORD-2026070117,exact_match,EXACT_MATCH,
ORD-2026070118,exact_match,EXACT_MATCH,
ORD-2026070119,exact_match,EXACT_MATCH,
ORD-2026070120,exact_match,EXACT_MATCH,
ORD-2026070121,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070122,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070123,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070124,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070125,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070126,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070127,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070128,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070129,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
ORD-2026070130,refund_adjusted,EXACT_MATCH_AFTER_REFUND,
